vehicle_id,last_updated,previous_stop,next_stop,origin_stop,destination_stop,lat,lon,route
2367,2025-11-13T14:46:33-06:00,Unknown,Lincoln and Kettering Park,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.13235,-88.217817,ILLINI South
2020,2025-11-13T14:46:39-06:00,Illinois Street Residence Hall,Goodwin and Nevada,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.10825,-88.223917,ILLINI North
2018,2025-11-13T14:46:27-06:00,Krannert Center,Lincoln and Illinois,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.109017,-88.22195,ILLINI South
2260,2025-11-13T14:46:36-06:00,Third and Daniel,First and Armory,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.107933,-88.236433,ILLINI South
2261,2025-11-13T14:46:36-06:00,Transit Plaza,Goodwin at Materials Research,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.109983,-88.228817,ILLINI North
2022,2025-11-13T14:46:33-06:00,Lincoln and Church,Lincoln and Wascher,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.11965,-88.219367,ILLINI North
2365,2025-11-13T14:46:30-06:00,First and Armory,Third and Daniel,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.107867,-88.238233,ILLINI North
2017,2025-11-13T14:44:36-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099483,-88.2207,ILLINI North
2367,2025-11-13T14:47:33-06:00,Unknown,Lincoln and Kettering Park,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.13235,-88.217817,ILLINI South
2020,2025-11-13T14:47:33-06:00,Chemical and Life Sciences,Goodwin and Gregory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.10735,-88.2239,ILLINI North
2018,2025-11-13T14:47:42-06:00,Krannert Center,Lincoln and Illinois,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.109017,-88.22195,ILLINI South
2260,2025-11-13T14:47:36-06:00,Third and Daniel,First and Armory,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.107933,-88.2385,ILLINI South
2261,2025-11-13T14:47:33-06:00,Transit Plaza,Goodwin at Materials Research,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.110383,-88.226867,ILLINI North
2022,2025-11-13T14:47:33-06:00,Lincoln and Wascher,Lincoln and Bradley,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.124517,-88.219417,ILLINI North
2365,2025-11-13T14:47:42-06:00,First and Daniel,Fourth and Chalmers,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.107883,-88.23555,ILLINI North
2017,2025-11-13T14:44:36-06:00,Unknown,Pennsylvania and Maryland Dr.,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099483,-88.2207,ILLINI North
2367,2025-11-13T14:48:48-06:00,Lincoln and Killarney,LINC Apartments,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.1324,-88.219083,ILLINI South
2020,2025-11-13T14:48:42-06:00,Goodwin and Nevada,Gregory at Mumford Hall,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.105,-88.223883,ILLINI North
2018,2025-11-13T14:48:42-06:00,Illinois Street Residence Hall,Lincoln and Oregon,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.109017,-88.219817,ILLINI South
2260,2025-11-13T14:48:51-06:00,First and Armory,First and Stadium,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.104233,-88.238667,ILLINI South
2261,2025-11-13T14:48:54-06:00,Goodwin at Materials Research,University and Goodwin,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.113583,-88.223983,ILLINI North
2022,2025-11-13T14:48:48-06:00,Atrium Apts,Lincoln and Kettering Park,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.127217,-88.219467,ILLINI North
2365,2025-11-13T14:48:45-06:00,Third and Daniel,Fifth and Armory,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.10695,-88.233517,ILLINI North
2017,2025-11-13T14:48:54-06:00,Pennsylvania Ave. Residence Hall,LAR,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.099467,-88.220917,ILLINI North
2367,2025-11-13T14:49:36-06:00,Lincoln and Killarney,LINC Apartments,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.130033,-88.219617,ILLINI South
2020,2025-11-13T14:49:33-06:00,Goodwin and Gregory,Gregory at Library,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.1042,-88.225183,ILLINI North
2018,2025-11-13T14:49:27-06:00,Lincoln and Illinois,LAR,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.107467,-88.219283,ILLINI South
2260,2025-11-13T14:49:36-06:00,First and Gregory,Activities and Recreation,Lincoln and Killarney,Pennsylvania Ave. Residence Hall,40.102883,-88.23865,ILLINI South
2261,2025-11-13T14:49:39-06:00,Goodwin and Main,Lincoln and Church,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.11595,-88.223967,ILLINI North
2022,2025-11-13T14:49:33-06:00,Lincoln and Bradley,Kettering and Linview,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.1299,-88.219433,ILLINI North
2365,2025-11-13T14:49:27-06:00,Fourth and Chalmers,Armory and Wright,Pennsylvania Ave. Residence Hall,Lincoln and Killarney,40.105433,-88.233483,ILLINI North
